Id,Expected
в эту минуту,null
сейчас,2020-11-27T02:30
прямо сейчас,2020-11-27T02:30
в настоящий момент,null
сегодня,2020-11-27
сегодняшний день,2020-11-27
сего числа,2020-11-27
сегодняшним числом,2020-11-27
в этот день,null
на протяжении сегодняшнего дня,2020-11-27 - 2020-11-27
на протяжении дня,2020-11-27 - 2020-11-27
вчера,2020-11-26
накануне,2020-11-26
день тому назад,2020-11-26
один день назад,2020-11-26
позавчера,2020-11-25
третьего дня,2020-11-25
два дня тому назад,2020-11-25
два дня назад,2020-11-25
двумя днями раньше,2020-11-25
двумя днями ранее,2020-11-25
завтра,2020-11-28
за завтрашний день,null
назавтра,2020-11-28
на следующий день,2020-11-28
в следующие сутки,null
за следующие сутки,null
послезавтра,2020-11-29
через день,2020-11-29
день спустя,2020-11-29
через два дня,2020-11-30
послепослезавтра,2020-11-30
два дня спустя,2020-11-30
в следующий вторник,null
на следующий вторник,2020-12-01
ко вторнику,2020-12-01
следующий вторник,2020-12-01
"Во вторник, 1 декабря",2020-12-01
Во вторник 1 декабря,2020-12-01
"Вторник, 1 декабря",2020-12-01
"1 декабря, вторник",2020-12-01
"1 декабря, вт",2020-12-01
"1 декабря, вт.",2020-12-01
"01 декабря, вторник",2020-12-01
"1-го декабря, во вторник",2020-12-01
1 декабря,2020-12-01
"1 дек., вт.",2020-12-01
"1-дек, вт",2020-12-01
На 1 декабря (вт),2020-12-01
На 1 декабря (вт.),2020-12-01
"1 декабря 2020 года, во вторник",2020-12-01
"1 декабря 2020 г., во вторник",2020-12-01
"1 дек. 2020, вт",2020-12-01
"1 дек. 2020 г., вт.",2020-12-01
"В эту среду, 25 ноября",2020-11-25
"В среду, 25 ноября",2020-11-25
в среду 25 ноября,null
"ср., 25 ноября",2020-11-25
"ср., 25-го ноября",2020-11-25
"ср, 25е ноября",2020-11-25
"Не далее как в среду, 25 ноября",null
"25 ноября, в эту среду",null
"25 ноября, ср.",2020-11-25
"25 ноября, в среду",null
"25-го ноября, в среду",null
"25го ноября, в среду",null
25го ноября в среду,null
25 ноября (среда),2020-11-25
25 ноября (ср),2020-11-25
25-го ноября (среда),2020-11-25
25-го ноября (ср),2020-11-25
25го ноября (ср),2020-11-25
25е ноября (среда),2020-11-25
25е ноября (ср),2020-11-25
25-е ноября (ср.),2020-11-25
"25.11, ср",2020-11-25
"25.11, среда",2020-11-25
среда 25/11,2020-11-25
21/11 (ср),2020-11-25
в воскресенье,null
воскресенье,2020-11-28
ближайшее воскресенье,2020-11-28
в последний день недели,null
вс.,2020-11-28
в вс.,null
в ту пятницу,null
на той неделе в пятницу,null
в минувшую пятницу,null
в прошлую пятницу,null
ровно неделю назад,2020-11-20T02:30
семь дней назад,2020-11-20T02:30
в эту субботу,null
в субботу,null
на субботу,2020-11-28
16 августа,2020-08-16
16-го августа,2020-08-16
16-е августа,2020-08-16
16го августа,2020-08-16
16е августа,2020-08-16
на 16 августа,2020-08-16
на 16-е агуста,2020-08-16
на 16е августа,2020-08-16
16 авг,2020-08-16
16 авг.,2020-08-16
шестнадцатое августа,2020-08-16
шестнадцатого августа,2020-08-16
на шестнадцатое августа,2020-08-16
шестнадцатому августа,2020-08-16
к шестнадцатому числу августа,2020-08-16
11 октября,2020-10-11
11-го октября,2020-10-11
11е октября,2020-10-11
11 окт,2020-10-11
11 окт.,2020-10-11
на 11 октября,2020-10-11
на 11-е октября,2020-10-11
на 11е октября,2020-10-11
одиннадцатое октября,2020-10-11
одиннадцатого октября,2020-10-11
одиннадцатому октября,2020-10-11
к одиннадцатому числу октября,2020-10-11
6 апреля,2020-04-06
6-е апреля,2020-04-06
6-го апреля,2020-04-06
к 6 апреля,2020-04-06
к 6-му апреля,2020-04-06
к 6му апреля,2020-04-06
шестое апреля,2020-04-06
шестого апреля,2020-04-06
6 апр.,2020-04-06
от 27 октября 1944 г.,1944-10-27
10 мая 2021 года,2021-05-10
10-го мая 2021 года,2021-05-10
10-го мая 2021-го,2021-05-10
на 10-е мая 2021 года,2021-05-10
на следующее 10 мая,2021-05-10
10 мая 2021-го,2021-05-10
10 мая 2021,2021-05-10
10 мая следующего года,2021-05-10
следующего 10 мая,2021-05-10
десятого мая две тысячи двадцать первого года,2021-05-10
десятого мая 2021 года,2021-05-10
десятого мая 2021 г.,2021-05-10
к десятому мая две тысячи двадцать первого года,2021-05-10
в 2021 году 10 мая,null
10.05.2021,2021-05-10
10.5.2021,2021-05-10
10.05.21,2021-05-10
10-05-2021,2021-05-10
10-05-21,2021-05-10
4 февраля,2020-02-04
4го февраля,2020-02-04
4-го февраля,2020-02-04
4-е февраля,2020-02-04
4е февраля,2020-02-04
4-фев,2020-02-04
4 фев.,2020-02-04
4.02,2020-02-04
4.02.2020,2020-02-04
04.02.2020,2020-02-04
четвертого февраля,2020-02-04
за четвертое февраля,null
июль 2011 года,2011-07-01 - 2011-07-31
июль 2011 г.,2011-07-01 - 2011-07-31
июль 2011-го,2011-07-01 - 2011-07-31
в июле 2011 года,null
июль 2011го,2011-07-01 - 2011-07-31
за июль 2011 г.,null
05.2011,2011-07-01 - 2011-07-31
июль-2011,2011-07-01 - 2011-07-31
июль '11,2011-07-01 - 2011-07-31
до августа 1944 года,2020-04-06
до августа тысяча девятьсот сорок четвертого года,2020-04-06
до августа тысяча четвертого года,2020-04-06
пока не наступил август 1944-го,2020-04-06
до августа-1944,2020-04-06
до августа '44,2020-04-06
до августа 44-го,2020-04-06
до августа 1944 г.,2020-04-06
до авг. 1944 г.,2020-04-06
20.9.1995,2020-04-06
20.09.1995,1995-09-20
20-09-1995,1995-09-20
25 января 2026 года,1995-09-20
25 янв. 2026 года,2026-01-25
25 января 2026 г.,2026-01-25
25 января 2026-го,2026-01-25
25-го января 2026 года,2026-01-25
25-янв 2026,null
в ближайшие выходные,null
на этих выходных,2020-11-28 - 2020-11-29
на выходных,2020-11-28 - 2020-11-29
в этот уикенд,null
в субботу-воскресенье,null
через вторник,2020-12-08
через неделю во вторник,2020-12-08
во вторник через неделю,2020-12-08
"во вторник, через неделю",2020-12-08
следующая среда,2020-11-27
в следующую среду,null
в среду на следующей неделе,null
В следующем июне,2020-11-27
на неделе,2020-11-23 - 2020-11-29
на этой неделе,2020-11-23 - 2020-11-29
за эту неделю,null
всю эту неделю,2020-11-23 - 2020-11-29
неделю напролет,2020-11-23 - 2020-11-29
прошлая неделя,2020-11-16 - 2020-11-22
